age,sex,race,educ,state,weight
18-29,Male,White,No college degree,ND,30
18-29,Female,White,College graduate,ND,23
30-44,Male,White,No college degree,ND,8
30-44,Female,White,No college degree,ND,8
45-65,Female,White,College graduate,ND,11
18-29,Male,Asian,No college degree,ND,28
30-44,Female,White,College graduate,ND,4
30-44,Male,White,College graduate,ND,7
65+,Male,White,No college degree,ND,25
65+,Female,White,No college degree,ND,34
30-44,Male,White,College graduate,ND,27
30-44,Female,White,College graduate,ND,26
18-29,Female,White,No college degree,ND,20
30-44,Female,White,College graduate,ND,74
45-65,Male,White,No college degree,ND,60
18-29,Male,White,No college degree,ND,77
45-65,Male,White,College graduate,ND,8
30-44,Female,White,College graduate,ND,8
65+,Male,White,College graduate,ND,8
30-44,Male,White,College graduate,ND,4
30-44,Female,White,College graduate,ND,4
65+,Female,White,College graduate,ND,7
30-44,Female,White,College graduate,ND,26
30-44,Male,White,College graduate,ND,47
45-65,Male,White,No college degree,ND,9
18-29,Male,White,No college degree,ND,82
18-29,Female,White,No college degree,ND,71
45-65,Male,White,College graduate,ND,38
45-65,Female,White,No college degree,ND,47
65+,Female,White,No college degree,ND,10
45-65,Female,White,College graduate,ND,8
45-65,Female,White,College graduate,ND,11
45-65,Male,White,College graduate,ND,15
45-65,Male,White,College graduate,ND,14
45-65,Female,White,College graduate,ND,15
18-29,Male,Other,No college degree,ND,5
65+,Male,White,No college degree,ND,6
45-65,Male,White,College graduate,ND,38
18-29,Female,White,College graduate,ND,38
45-65,Male,White,College graduate,ND,16
45-65,Female,White,No college degree,ND,13
45-65,Female,White,No college degree,ND,14
45-65,Male,White,No college degree,ND,16
30-44,Female,White,No college degree,ND,95
65+,Male,White,No college degree,ND,8
65+,Female,White,No college degree,ND,6
65+,Female,White,No college degree,ND,8
18-29,Female,Black,No college degree,ND,62
18-29,Female,White,No college degree,ND,39
18-29,Female,White,No college degree,ND,11
18-29,Female,White,No college degree,ND,12
18-29,Female,White,No college degree,ND,18
65+,Male,White,No college degree,ND,23
65+,Female,White,No college degree,ND,23
65+,Female,White,No college degree,ND,8
65+,Female,White,No college degree,ND,14
30-44,Female,White,College graduate,ND,37
30-44,Female,White,College graduate,ND,17
45-65,Male,White,No college degree,ND,20
45-65,Female,White,No college degree,ND,21
45-65,Female,White,College graduate,ND,36
65+,Male,White,College graduate,ND,31
30-44,Female,White,College graduate,ND,4
45-65,Male,White,No college degree,ND,5
18-29,Male,Other,No college degree,ND,1
18-29,Male,White,No college degree,ND,1
45-65,Male,White,College graduate,ND,8
45-65,Female,White,No college degree,ND,7
18-29,Male,White,No college degree,ND,2
45-65,Male,White,No college degree,ND,9
30-44,Female,White,No college degree,ND,7
65+,Male,White,No college degree,ND,10
