age,sex,race,educ,state,weight
45-65,Male,Other,College graduate,WV,55
18-29,Female,Other,College graduate,WV,99
18-29,Female,White,College graduate,WV,30
18-29,Male,White,College graduate,WV,44
30-44,Female,White,No college degree,WV,12
65+,Female,White,College graduate,WV,22
18-29,Male,White,College graduate,WV,43
18-29,Female,White,College graduate,WV,31
18-29,Female,White,No college degree,WV,49
45-65,Male,White,College graduate,WV,18
45-65,Female,White,College graduate,WV,22
18-29,Female,White,College graduate,WV,23
45-65,Female,White,No college degree,WV,14
18-29,Female,White,No college degree,WV,9
30-44,Male,White,College graduate,WV,16
30-44,Female,White,College graduate,WV,14
18-29,Male,White,College graduate,WV,6
18-29,Female,White,No college degree,WV,7
18-29,Female,White,No college degree,WV,5
65+,Female,White,College graduate,WV,2
45-65,Female,White,College graduate,WV,2
18-29,Female,White,No college degree,WV,24
18-29,Female,White,No college degree,WV,23
18-29,Female,White,No college degree,WV,22
65+,Female,White,College graduate,WV,20
45-65,Female,Black,College graduate,WV,22
45-65,Male,Black,College graduate,WV,54
65+,Male,White,No college degree,WV,10
45-65,Female,White,No college degree,WV,12
65+,Male,White,College graduate,WV,15
65+,Female,White,College graduate,WV,14
45-65,Male,White,College graduate,WV,11
45-65,Female,White,College graduate,WV,4
45-65,Male,White,College graduate,WV,3
65+,Male,White,No college degree,WV,5
45-65,Female,White,No college degree,WV,4
65+,Male,White,College graduate,WV,4
45-65,Male,White,No college degree,WV,12
30-44,Female,White,College graduate,WV,14
65+,Male,White,College graduate,WV,33
65+,Female,White,College graduate,WV,33
65+,Female,White,No college degree,WV,19
65+,Male,White,College graduate,WV,16
45-65,Female,White,College graduate,WV,17
30-44,Female,White,No college degree,WV,9
18-29,Male,White,No college degree,WV,11
45-65,Female,White,College graduate,WV,6
30-44,Male,White,College graduate,WV,4
45-65,Male,White,No college degree,WV,22
45-65,Female,White,No college degree,WV,20
45-65,Male,White,College graduate,WV,36
45-65,Female,White,No college degree,WV,40
45-65,Female,White,No college degree,WV,17
45-65,Male,White,No college degree,WV,16
18-29,Male,White,College graduate,WV,39
18-29,Female,White,College graduate,WV,27
65+,Male,White,No college degree,WV,20
45-65,Female,White,College graduate,WV,22
45-65,Female,White,College graduate,WV,31
45-65,Male,White,College graduate,WV,33
65+,Female,Other,No college degree,WV,21
18-29,Female,White,No college degree,WV,32
45-65,Male,White,College graduate,WV,5
45-65,Female,White,College graduate,WV,25
45-65,Female,White,College graduate,WV,15
45-65,Male,White,College graduate,WV,14
30-44,Male,White,College graduate,WV,35
30-44,Female,White,College graduate,WV,38
30-44,Female,White,No college degree,WV,39
30-44,Male,White,No college degree,WV,54
30-44,Male,White,No college degree,WV,22
30-44,Female,White,College graduate,WV,21
45-65,Male,White,No college degree,WV,15
30-44,Female,White,No college degree,WV,15
18-29,Female,White,No college degree,WV,9
30-44,Female,White,No college degree,WV,16
30-44,Male,White,No college degree,WV,16
30-44,Male,White,College graduate,WV,23
18-29,Female,White,College graduate,WV,23
65+,Male,White,College graduate,WV,12
45-65,Female,White,College graduate,WV,14
